month,basket_id,sector,role,export_usd_mn,export_inr_cr,quantity,quantity_unit,hs_level_used,codes_summed,n_codes,vintage_flag,retrieval_date,source_file,notes
2018-08,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,102.19,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
2018-08,B2_PHARMA,Pharmaceutical formulations,CORE,1230.39,,,,6,3003xx+3004xx,21,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-08,B3_AC,Air conditioners,CORE,13.59,,,,6,8415xx,6,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-08,B4_TEXTILE,MMF fabrics (PLI Textiles Annexure-II),ROBUSTNESS,83.66,,,,6,14 named codes,14,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-08,C1_LEATHER,Leather goods,CONTROL,228.32,,,,6,Chapter 42,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-08,C2_FOOTWEAR,Footwear,CONTROL,274.01,,,,6,Chapter 64,25,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-08,C3_COTTON,Cotton woven fabrics,CONTROL,176.4,,,,6,5208-5212,70,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-09,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,97.71,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
2018-09,B2_PHARMA,Pharmaceutical formulations,CORE,1198.39,,,,6,3003xx+3004xx,21,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-09,B3_AC,Air conditioners,CORE,12.66,,,,6,8415xx,6,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-09,B4_TEXTILE,MMF fabrics (PLI Textiles Annexure-II),ROBUSTNESS,90.78,,,,6,14 named codes,14,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-09,C1_LEATHER,Leather goods,CONTROL,220.36,,,,6,Chapter 42,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-09,C2_FOOTWEAR,Footwear,CONTROL,205.83,,,,6,Chapter 64,25,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-09,C3_COTTON,Cotton woven fabrics,CONTROL,149.13,,,,6,5208-5212,70,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-10,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,149.41,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
2018-10,B2_PHARMA,Pharmaceutical formulations,CORE,1079.5,,,,6,3003xx+3004xx,21,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-10,B3_AC,Air conditioners,CORE,10.38,,,,6,8415xx,6,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-10,B4_TEXTILE,MMF fabrics (PLI Textiles Annexure-II),ROBUSTNESS,83.08,,,,6,14 named codes,14,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-10,C1_LEATHER,Leather goods,CONTROL,224.4,,,,6,Chapter 42,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-10,C2_FOOTWEAR,Footwear,CONTROL,213.12,,,,6,Chapter 64,25,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-10,C3_COTTON,Cotton woven fabrics,CONTROL,158.84,,,,6,5208-5212,70,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-11,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,211.24,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
2018-11,B2_PHARMA,Pharmaceutical formulations,CORE,1070.36,,,,6,3003xx+3004xx,21,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-11,B3_AC,Air conditioners,CORE,10.31,,,,6,8415xx,6,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
