block,basket_id,metric,value,note
seasonal_profile,B1_MOBILE,m05,-25.36,log points x100 vs own-year mean
seasonal_profile,B1_MOBILE,m06,-20.5,log points x100 vs own-year mean
seasonal_profile,B1_MOBILE,m07,-4.02,log points x100 vs own-year mean
seasonal_profile,B1_MOBILE,m08,-7.2,log points x100 vs own-year mean
seasonal_profile,B1_MOBILE,m09,-12.48,log points x100 vs own-year mean
seasonal_profile,B1_MOBILE,m10,26.27,log points x100 vs own-year mean
seasonal_profile,B1_MOBILE,m11,48.09,log points x100 vs own-year mean
seasonal_profile,B1_MOBILE,m12,41.04,log points x100 vs own-year mean
seasonal_profile,B2_PHARMA,m01,-6.52,log points x100 vs own-year mean
seasonal_profile,B2_PHARMA,m02,-4.63,log points x100 vs own-year mean
seasonal_profile,B2_PHARMA,m03,9.13,log points x100 vs own-year mean
seasonal_profile,B2_PHARMA,m04,-4.79,log points x100 vs own-year mean
seasonal_profile,B2_PHARMA,m05,-4.11,log points x100 vs own-year mean
seasonal_profile,B2_PHARMA,m06,2.06,log points x100 vs own-year mean
seasonal_profile,B2_PHARMA,m07,-0.23,log points x100 vs own-year mean
seasonal_profile,B2_PHARMA,m08,1.42,log points x100 vs own-year mean
seasonal_profile,B2_PHARMA,m09,5.65,log points x100 vs own-year mean
seasonal_profile,B2_PHARMA,m10,-0.65,log points x100 vs own-year mean
seasonal_profile,B2_PHARMA,m11,-4.75,log points x100 vs own-year mean
seasonal_profile,B2_PHARMA,m12,7.43,log points x100 vs own-year mean
seasonal_profile,B3_AC,m01,-12.96,log points x100 vs own-year mean
seasonal_profile,B3_AC,m02,3.05,log points x100 vs own-year mean
seasonal_profile,B3_AC,m03,15.33,log points x100 vs own-year mean
seasonal_profile,B3_AC,m04,-38.41,log points x100 vs own-year mean
seasonal_profile,B3_AC,m05,-2.53,log points x100 vs own-year mean
seasonal_profile,B3_AC,m06,3.1,log points x100 vs own-year mean
seasonal_profile,B3_AC,m07,6.45,log points x100 vs own-year mean
seasonal_profile,B3_AC,m08,5.29,log points x100 vs own-year mean
seasonal_profile,B3_AC,m09,9.22,log points x100 vs own-year mean
seasonal_profile,B3_AC,m10,-2.79,log points x100 vs own-year mean
seasonal_profile,B3_AC,m11,0.18,log points x100 vs own-year mean
seasonal_profile,B3_AC,m12,14.07,log points x100 vs own-year mean
seasonal_profile,B4_TEXTILE,m01,13.65,log points x100 vs own-year mean
seasonal_profile,B4_TEXTILE,m02,14.72,log points x100 vs own-year mean
seasonal_profile,B4_TEXTILE,m03,15.73,log points x100 vs own-year mean
seasonal_profile,B4_TEXTILE,m04,-25.83,log points x100 vs own-year mean
seasonal_profile,B4_TEXTILE,m05,-13.26,log points x100 vs own-year mean
seasonal_profile,B4_TEXTILE,m06,-15.36,log points x100 vs own-year mean
seasonal_profile,B4_TEXTILE,m07,-4.31,log points x100 vs own-year mean
seasonal_profile,B4_TEXTILE,m08,1.78,log points x100 vs own-year mean
seasonal_profile,B4_TEXTILE,m09,6.55,log points x100 vs own-year mean
seasonal_profile,B4_TEXTILE,m10,6.16,log points x100 vs own-year mean
seasonal_profile,B4_TEXTILE,m11,-10.39,log points x100 vs own-year mean
seasonal_profile,B4_TEXTILE,m12,10.56,log points x100 vs own-year mean
autocorrelation,B1_MOBILE,acf1_lnY,0.89,
autocorrelation,B1_MOBILE,acf12_lnY,0.577,
autocorrelation,B1_MOBILE,acf1_growth,-0.152,
autocorrelation,B1_MOBILE,acf12_growth,0.512,
autocorrelation,B1_MOBILE,signif_band_95,0.201,
autocorrelation,B1_MOBILE,n_growth,95,
autocorrelation,B2_PHARMA,acf1_lnY,0.773,
autocorrelation,B2_PHARMA,acf12_lnY,0.535,
autocorrelation,B2_PHARMA,acf1_growth,-0.43,
autocorrelation,B2_PHARMA,acf12_growth,0.3,
autocorrelation,B2_PHARMA,signif_band_95,0.201,
autocorrelation,B2_PHARMA,n_growth,95,
autocorrelation,B3_AC,acf1_lnY,0.717,
autocorrelation,B3_AC,acf12_lnY,0.434,
autocorrelation,B3_AC,acf1_growth,-0.351,
autocorrelation,B3_AC,acf12_growth,0.139,
autocorrelation,B3_AC,signif_band_95,0.201,
autocorrelation,B3_AC,n_growth,95,
autocorrelation,B4_TEXTILE,acf1_lnY,0.534,
autocorrelation,B4_TEXTILE,acf12_lnY,0.138,
autocorrelation,B4_TEXTILE,acf1_growth,-0.218,
autocorrelation,B4_TEXTILE,acf12_growth,0.161,
autocorrelation,B4_TEXTILE,signif_band_95,0.201,
autocorrelation,B4_TEXTILE,n_growth,95,
