unit,spec,n,r2_adj,beta3_lgp,se_hac3,se_hac12,p_hac3,p_hac12,ci_lo,ci_hi,beta2,beta2_p12,T2_coef,T2_se12,T2_p12
B1_MOBILE,A0_baseline_locked,96,0.9199,-2.921,1.944,2.02,0.1329,0.1481,-6.879,1.038,-0.5623,0.0924,,,
B1_MOBILE,R12_quadratic_pretrend,96,0.9324,1.266,1.948,1.604,0.5157,0.4299,-1.878,4.411,-0.7852,0.0413,-4.2029,0.891,0.0
B2_PHARMA,A0_baseline_locked,96,0.8219,-0.134,0.127,0.152,0.2943,0.3785,-0.431,0.164,-0.0752,0.0806,,,
B2_PHARMA,R12_quadratic_pretrend,96,0.8424,1.321,0.464,0.351,0.0044,0.0002,0.633,2.01,-0.072,0.0212,-1.5175,0.3676,0.0
B3_AC,A0_baseline_locked,96,0.8066,0.874,0.305,0.272,0.0041,0.0013,0.341,1.407,0.0432,0.4236,,,
B3_AC,R12_quadratic_pretrend,96,0.8089,-1.126,0.951,0.908,0.2366,0.2152,-2.906,0.654,0.0388,0.4467,2.0857,0.9392,0.0264
B4_TEXTILE,A0_baseline_locked,96,0.6611,0.05,0.337,0.233,0.8816,0.8291,-0.406,0.506,-0.0049,0.9281,,,
B4_TEXTILE,R12_quadratic_pretrend,96,0.67,-0.896,0.71,0.869,0.207,0.3026,-2.599,0.808,-0.0823,0.2229,0.9712,0.8089,0.2299
