basket_id,model,n,k,r2,r2_adj,beta1_trend,beta1_trend_se_ols,beta1_trend_se_hac3,beta1_trend_t_hac3,beta1_trend_p_hac3,beta1_trend_se_hac12,beta1_trend_t_hac12,beta1_trend_p_hac12,beta1_trend_ci95_lo_hac12,beta1_trend_ci95_hi_hac12,beta2_level,beta2_level_se_ols,beta2_level_se_hac3,beta2_level_t_hac3,beta2_level_p_hac3,beta2_level_se_hac12,beta2_level_t_hac12,beta2_level_p_hac12,beta2_level_ci95_lo_hac12,beta2_level_ci95_hi_hac12,beta3_trendchange,beta3_trendchange_se_ols,beta3_trendchange_se_hac3,beta3_trendchange_t_hac3,beta3_trendchange_p_hac3,beta3_trendchange_se_hac12,beta3_trendchange_t_hac12,beta3_trendchange_p_hac12,beta3_trendchange_ci95_lo_hac12,beta3_trendchange_ci95_hi_hac12,transition,transition_se_ols,transition_se_hac3,transition_t_hac3,transition_p_hac3,transition_se_hac12,transition_t_hac12,transition_p_hac12,transition_ci95_lo_hac12,transition_ci95_hi_hac12
B1_MOBILE,levels_noTransition,96,16,0.9325,0.9199,0.06538,0.00901,0.01903,3.435,0.0006,0.0191,3.424,0.0006,0.02795,0.1028,-0.56226,0.17635,0.33999,-1.654,0.0982,0.33407,-1.683,0.0924,-1.21702,0.0925,-0.02921,0.0092,0.01944,-1.503,0.1329,0.0202,-1.446,0.1481,-0.06879,0.01038,,,,,,,,,,
B1_MOBILE,levels_withTransition,96,17,0.9329,0.9194,0.0655,0.00904,0.01913,3.425,0.0006,0.01919,3.413,0.0006,0.02789,0.10312,-0.58208,0.17913,0.34694,-1.678,0.0934,0.34086,-1.708,0.0877,-1.25015,0.08599,-0.02902,0.00923,0.01946,-1.491,0.136,0.02023,-1.434,0.1515,-0.06867,0.01063,0.12678,0.17991,0.16184,0.783,0.4334,0.11674,1.086,0.2775,-0.10203,0.35559
