basket_id,model,n,k,r2,r2_adj,beta1_trend,beta1_trend_se_ols,beta1_trend_se_hac3,beta1_trend_t_hac3,beta1_trend_p_hac3,beta1_trend_se_hac12,beta1_trend_t_hac12,beta1_trend_p_hac12,beta1_trend_ci95_lo_hac12,beta1_trend_ci95_hi_hac12,beta2_level,beta2_level_se_ols,beta2_level_se_hac3,beta2_level_t_hac3,beta2_level_p_hac3,beta2_level_se_hac12,beta2_level_t_hac12,beta2_level_p_hac12,beta2_level_ci95_lo_hac12,beta2_level_ci95_hi_hac12,beta3_trendchange,beta3_trendchange_se_ols,beta3_trendchange_se_hac3,beta3_trendchange_t_hac3,beta3_trendchange_p_hac3,beta3_trendchange_se_hac12,beta3_trendchange_t_hac12,beta3_trendchange_p_hac12,beta3_trendchange_ci95_lo_hac12,beta3_trendchange_ci95_hi_hac12
B1_MOBILE,baseline_levels,96,16,0.9325,0.9199,0.06538,0.00901,0.01903,3.435,0.0006,0.0191,3.424,0.0006,0.02795,0.1028,-0.56226,0.17635,0.33999,-1.654,0.0982,0.33407,-1.683,0.0924,-1.21702,0.0925,-0.02921,0.0092,0.01944,-1.503,0.1329,0.0202,-1.446,0.1481,-0.06879,0.01038
B2_PHARMA,baseline_levels,96,16,0.85,0.8219,0.00765,0.00083,0.00089,8.642,0.0,0.00109,6.992,0.0,0.00551,0.0098,-0.07524,0.03317,0.03634,-2.07,0.0384,0.04307,-1.747,0.0806,-0.15965,0.00917,-0.00134,0.00115,0.00127,-1.049,0.2943,0.00152,-0.881,0.3785,-0.00431,0.00164
B3_AC,baseline_levels,96,16,0.8371,0.8066,0.00934,0.00259,0.00229,4.074,0.0,0.00183,5.107,0.0,0.00576,0.01293,0.04325,0.10364,0.07047,0.614,0.5394,0.05405,0.8,0.4236,-0.06268,0.14918,0.00874,0.0036,0.00305,2.867,0.0041,0.00272,3.211,0.0013,0.00341,0.01407
B4_TEXTILE,baseline_levels,96,16,0.7146,0.6611,0.0017,0.00103,0.00095,1.78,0.075,0.00123,1.385,0.1661,-0.00071,0.00411,-0.00494,0.08545,0.04736,-0.104,0.917,0.05471,-0.09,0.9281,-0.11218,0.1023,0.0005,0.00552,0.00337,0.149,0.8816,0.00233,0.216,0.8291,-0.00406,0.00506
